Company,Model,Total Units sold,Average Purchase Rate,ARPU Per Year,Q-Q Projected Growth %,Recent Quarter Sales,Next Quarter Revenue,YoY Forecasted Growth Rate,Units Sold Recent Quarter,Projected Units Sales for Next Quarter,Income Group of Potential Customers,Color
Pontiac,Grand Prix,28,1,33478.92857,110,$58102,$122271,-23.96176664,3,6,High Income,Red
Plymouth,Breeze,38,1.055555556,24873.94444,16,$105502,$122108,-52.19886475,3,3,High Income,Pale White
Honda,Odyssey,30,1,32400.33333,-44,$216003,$121501,49.99938272,4,2,Low Income,Pale White
Acura,RL,44,1.023255814,21651.51163,-13,$139701,$121437,-38.90146713,5,4,High Income,Black
Honda,CR-V,43,1.023809524,21190.78571,-44,$217006,$121365,-8.058907752,6,3,Low Income,Pale White
Jeep,Wrangler,50,1,18540.18,-49,$236503,$120914,-19.39066667,10,5,Low Income,Pale White
Cadillac,DeVille,18,1,53566.94444,-13,$138500,$120526,-64.47867117,2,2,High Income,Red
Volkswagen,GTI,39,1,23660.38462,-13,$139101,$120359,-38.15088309,5,4,High Income,Pale White
Nissan,Pathfinder,3,1,53333.66667,74,$69001,$120001,,1,2,Medium Income,Black
Dodge,Durango,43,1.023809524,21859.47619,-6,$127000,$119752,-52.19538289,5,5,Low Income,Black
Lexus,GS400,42,1.024390244,21305.21951,-51,$243004,$119116,41.79969763,5,2,Low Income,Black
Volkswagen,Jetta,24,1.043478261,39695.86957,11,$107000,$119088,4.462241559,2,2,Medium Income,Pale White
Volvo,S40,42,1,21666.83333,-20,$148001,$118697,24.94421053,5,4,Low Income,Red
Cadillac,Eldorado,28,1,32439.5,20,$99100,$118475,-15.52705131,3,4,High Income,Red
Honda,Civic,21,1,43185.90476,-9,$129600,$118292,-8.300775194,2,2,High Income,Black
Chevrolet,Lumina,30,1.034482759,32624.48276,-25,$157001,$118264,-37.42711717,5,4,High Income,Black
Jaguar,S-Type,36,1.058823529,26646.64706,-21,$150001,$118172,15.28863133,1,1,High Income,Pale White
Infiniti,I30,33,1.03125,29517.4375,-47,$224501,$118070,9.475109178,5,3,High Income,Pale White
Ford,Windstar,43,1,21783.90698,-32,$172900,$117089,-4.961770101,5,3,High Income,Pale White
Volkswagen,Golf,44,1,21250.18182,-26,$159001,$116876,-15.30786009,4,3,Low Income,Pale White
Lexus,GS400,32,1.032258065,30080.87097,-18,$143001,$116563,-43.2783455,4,3,Low Income,Pale White
Cadillac,DeVille,17,1,52441.41176,-68,$367003,$116283,-11.90681818,4,1,Low Income,Pale White
Mercedes-B,SLK230,12,1,71000.25,-18,$142001,$116182,-72.72723005,2,2,Low Income,Red
Mitsubishi,Montero Sport,27,1,34281.81481,-53,$245003,$115701,70.14352519,5,2,High Income,Red
Lexus,GS400,31,1,29809.80645,-26,$155900,$115513,-48.31702483,4,3,High Income,Pale White
Porsche,Boxter,2,1,19000,,,$114000,,,,Medium Income,Pale White
Cadillac,Eldorado,26,1,33558,22,$93000,$113805,-69.3458674,3,4,Low Income,Red
Mitsubishi,3000GT,44,1.047619048,21629.90476,-10,$126800,$113557,-25.70690219,6,5,High Income,Red
Audi,A4,28,1.037037037,28018.92593,-16,$135502,$113477,5.067404911,4,3,Low Income,Black
Volkswagen,GTI,36,1.028571429,25743.08571,-44,$200503,$112626,12.626,6,3,Low Income,Black
Dodge,Durango,43,1.023809524,21446.69048,-3,$115704,$112595,-24.43339306,3,3,High Income,Pale White
Oldsmobile,Cutlass,24,1,28136.875,,,$112548,30.86976744,,,High Income,Red
Mercedes-B,E-Class,31,1.033333333,30000.13333,20,$93502,$112501,-39.38523707,3,4,High Income,Pale White
Cadillac,Eldorado,35,1,24600.31429,-12,$127000,$112306,-24.11859299,1,1,Low Income,Pale White
Lexus,GS400,37,1,23267.97297,-27,$154101,$112293,-68.41292479,3,2,High Income,Black
Volkswagen,Golf,40,1,21350.325,-55,$248402,$111393,6.086550732,6,3,High Income,Pale White
Mercury,Villager,49,1.020833333,17728.3125,-18,$136102,$110995,-35.46839844,4,3,Low Income,Pale White
Mitsubishi,Eclipse,29,1,26555.37931,331,$25501,$110015,5.074401635,,,High Income,Black
Ford,Crown Victoria,29,1,29051.86207,89,$58000,$109892,-49.82100457,2,4,Low Income,Red
Buick,Park Avenue,13,1,53384.69231,29,$85001,$109579,-41.08655914,2,3,Medium Income,Pale White
Lincoln,Town car,35,1,24857.34286,-21,$138003,$108751,-51.66622222,5,4,Low Income,Pale White
Honda,Accord,44,1,19690.02273,78,$61000,$108295,-2.877052635,2,4,High Income,Pale White
Lexus,ES300,27,1,28000.44444,-36,$168003,$108002,5.882237603,4,3,Low Income,Black
Toyota,Tacoma,7,1,82000.28571,,,$107625,,,,Low Income,Red
Plymouth,Voyager,43,1,19988.60465,-45,$196504,$107439,-13.35564516,4,2,Low Income,Pale White
Ford,Windstar,40,1,21474,25,$86001,$107370,7.37,3,4,Low Income,Pale White
Mercedes-B,SLK230,11,1,71182.81818,50,$71000,$106774,-74.93568075,,,High Income,Red
Dodge,Ram Pickup,32,1.032258065,27258.32258,-13,$121502,$105626,-36.75127694,4,3,Medium Income,Pale White
Volvo,C70,6,1,82100.33333,,,$105558,,,,High Income,Red
Volkswagen,GTI,33,1,23454.78788,-40,$175004,$105547,-45.87333333,6,4,Low Income,Pale White
Dodge,Viper,27,1.038461538,32415.65385,29,$81500,$105351,-43.96253211,1,1,High Income,Pale White
Mercury,Mountaineer,40,1.081081081,22702.94595,-29,$147003,$105001,-28.57172011,6,4,Low Income,Pale White
Toyota,4Runner,1,1,35000,,,$105000,,,,High Income,Pale White
Toyota,4Runner,1,1,35000,,,$105000,,,,Medium Income,Pale White
Volkswagen,Golf,1,1,35000,200,$35000,$105000,,1,3,Medium Income,Red
Chevrolet,Monte Carlo,19,1,44066.05263,19,$88000,$104657,-40.78811881,1,1,Low Income,Black
Mercedes-B,SL-Class,34,1,24565.17647,-34,$157303,$104402,-36.84242366,3,2,High Income,Pale White
Saturn,SC,16,1,51984.5625,70,$61000,$103969,-52.5262211,1,2,High Income,Red
BMW,323i,37,1.027777778,20118.33333,-35,$158803,$103466,-30.32592593,5,3,High Income,Pale White
Dodge,Avenger,22,1,29727.54545,-15,$122001,$103264,-71.78625487,3,3,Low Income,Red
Chrysler,300M,29,1,26108.7931,-21,$130750,$103248,-20.88336488,5,4,High Income,Black
Dodge,Avenger,28,1,26893.14286,-51,$211001,$102683,-81.79398801,6,3,Low Income,Pale White
Toyota,Corolla,35,1,23457.4,-41,$174003,$102626,3.662626263,5,3,Low Income,Pale White
BMW,323i,42,1.024390244,19951.4878,-33,$152504,$102251,-45.61261669,6,4,Low Income,Pale White
Mercury,Villager,49,1,16667.95918,-9,$112002,$102091,-26.97457833,5,5,High Income,Pale White
Mercury,Grand Marquis,38,1.027027027,21127.35135,-45,$184201,$101962,5.383812388,6,3,High Income,Pale White
Chevrolet,Prizm,40,1,20211.525,-17,$121901,$101058,6.514750677,4,3,High Income,Red
Mercedes-B,S-Class,54,1.038461538,14856.05769,-63,$271004,$100763,39.94666741,13,5,Low Income,Pale White
Saturn,LW,13,1,49000.30769,105,$49000,$100580,-31.57823129,,,Low Income,Red
Dodge,Ram Van,44,1.023255814,17918.81395,-33,$151002,$100501,28.02675159,8,5,Low Income,Pale White
Ford,Mustang,21,1,34616.90476,-6,$105000,$99130,-57.63765732,2,2,High Income,Red
Cadillac,Escalade,19,1,38079.05263,-13,$114001,$98659,-13.45701754,2,2,Low Income,Pale White
Oldsmobile,Intrigue,19,1,36289.84211,-56,$222003,$98501,-71.44898551,4,2,Low Income,Red
Lincoln,Navigator,21,1,32714.47619,-1,$99000,$98143,-56.38108275,2,2,Low Income,Pale White
Toyota,Tacoma,17,1,46176.58824,-7,$106001,$98125,-58.42161017,2,2,Medium Income,Pale White
Volkswagen,Passat,55,1,14272.50909,-1,$99501,$98124,-0.885849638,4,4,Low Income,Black
Infiniti,I30,25,1,30032.04,-46,$182800,$97931,-28.25567766,5,3,High Income,Black
Subaru,Outback,11,1,53395.63636,-14,$114100,$97892,-33.40680272,2,2,High Income,Red
Lincoln,Town car,37,1,21073.18919,-51,$199353,$97464,-46.69787588,8,4,High Income,Black
Chrysler,300M,36,1,20657.25,-20,$120502,$96999,60.32892562,2,2,High Income,Pale White
Dodge,Ram Pickup,40,1.025641026,19884.89744,-12,$110502,$96939,13.37894737,3,3,Low Income,Black
Jeep,Wrangler,34,1,18974.64706,0,$96552,$96771,-22.03934648,3,3,High Income,Pale White
Dodge,Viper,26,1,26038.76923,-47,$182002,$96715,-50.40307279,2,1,Low Income,Black
Mercedes-B,CL500,36,1.028571429,22088.77143,-12,$110002,$96638,45.32030075,2,2,Low Income,Black
Saab,Aero,7,1,69000.14286,-30,$138001,$96600,,2,1,Low Income,Pale White
Ford,Explorer,18,1,41000.22222,-22,$123000,$96261,-21.73902439,3,2,Low Income,Red
Volvo,S40,31,1,21619.58065,56,$61200,$95744,-19.20337553,2,3,High Income,Red
Pontiac,Bonneville,42,1.024390244,18622.2439,-35,$147503,$95439,-4.56195438,6,4,Low Income,Pale White
Ford,Explorer,17,1,41141.47059,-23,$123901,$95373,-53.70287667,3,2,High Income,Red
BMW,528i,26,1,26865.57692,-30,$137000,$95251,,4,3,Low Income,Red
Mercedes-B,C-Class,51,1.040816327,15500.22449,-35,$145001,$94939,163.7194444,5,3,Low Income,Pale White
Porsche,Carrera Coupe,32,1,20703.375,43,$66001,$94644,70.52972973,2,3,Low Income,Red
Acura,TL,39,1.026315789,19079.23684,53,$62000,$94567,-51.77662645,2,3,High Income,Pale White
Mitsubishi,3000GT,21,1,33000.09524,142,$39000,$94500,-59.61538462,1,2,Low Income,Black
Mercedes-B,CL500,19,1.055555556,27889.27778,-44,$167002,$94126,-52.46161616,3,2,Low Income,Pale White
Jeep,Cherokee,23,1,31339.43478,-31,$136002,$94018,29.68,4,3,High Income,Pale White
Chrysler,Sebring Coupe,34,1,20264.94118,13,$83000,$93956,17.44206395,4,5,Low Income,Red
Mercedes-B,SLK,21,1,28333.47619,-22,$120501,$93948,-7.894117647,1,1,Medium Income,Pale White
Lexus,LS400,22,1,31295.59091,16,$81000,$93887,-25.48709931,1,1,Medium Income,Pale White
Plymouth,Neon,36,1.028571429,19585.82857,43,$65500,$93478,-45.81016922,4,6,Low Income,Black
Pontiac,Grand Am,32,1.032258065,23101.74194,-7,$100001,$93411,-37.726,3,3,Low Income,Red
Nissan,Pathfinder,14,1,35464.64286,-18,$113003,$93095,-5.964646465,1,1,Low Income,Black
Toyota,Camry,24,1,31000.25,50,$62000,$93001,-50,2,3,Low Income,Red
Toyota,Camry,2,1,31000,,,$93000,0,,,Medium Income,Red
Dodge,Intrepid,1,1,31000,,,$93000,,,,Medium Income,Red
Nissan,Xterra,1,1,31000,,,$93000,,,,Medium Income,Red
Acura,TL,40,1.025641026,18269.51282,-44,$165002,$92936,-2.175720767,8,5,Low Income,Pale White
Cadillac,Catera,12,1,59375.25,-29,$131000,$92935,-58.96963837,3,2,Medium Income,Pale White
Buick,Regal,39,1.026315789,19539.84211,-46,$171506,$92814,8.55184674,5,3,Low Income,Black
Dodge,Caravan,28,1,23192.32143,-21,$116881,$92769,-10.36811594,3,2,High Income,Black
Nissan,Pathfinder,34,1,21771.70588,45,$64000,$92530,-55.28374741,3,4,High Income,Red
Pontiac,Sunfire,41,1,18036.80488,-43,$162003,$92439,-36.02970181,8,5,Low Income,Black
Lincoln,Continental,3,1,82000.33333,-44,$164000,$92250,,2,1,Medium Income,Red
Saturn,SC,4,1,61000.25,,,$91500,-75,,,Medium Income,Red
Jeep,Grand Cherokee,34,1,20595.73529,-22,$117000,$91338,-38.49375766,5,4,Low Income,Pale White
Volvo,C70,23,1.045454545,33152.54545,-71,$318851,$91170,23.53156376,4,1,High Income,Pale White
Chevrolet,Prizm,29,1,24086.41379,-10,$101002,$91109,-38.64837747,3,3,Medium Income,Pale White
Plymouth,Voyager,32,1.103448276,22936.58621,-49,$178503,$90704,9.940244597,7,4,High Income,Pale White
Buick,Regal,7,1,43071.57143,,,$90450,-29.88372093,,,Low Income,Red
Audi,A8,13,1,44064.07692,-32,$132501,$90447,-31.48058363,1,1,Low Income,Black
Dodge,Ram Wagon,30,1.071428571,23641.35714,3,$88001,$90267,-31.61746324,4,4,High Income,Black
Volkswagen,Passat,40,1.052631579,16623.89474,-37,$142601,$90244,9.78188144,6,4,High Income,Black
Oldsmobile,Intrigue,17,1,37149.11765,-10,$99781,$90219,-60.75301794,2,2,High Income,Red
Saturn,SW,6,1,25000.16667,,,$90001,,,,Low Income,Red
Nissan,Altima,34,1.096774194,22235.70968,-37,$142003,$89910,8.585645101,5,3,Low Income,Pale White
Lexus,GS300,14,1,51178.64286,-12,$102000,$89563,-42.03154631,2,2,High Income,Black
Acura,Integra,15,1,43649.06667,98,$45000,$89282,-50.39916445,,,High Income,Black
Honda,Civic,22,1,29611.5,97,$45100,$88835,-50.91310955,1,2,High Income,Pale White
Chevrolet,Malibu,20,1,34050.3,-26,$120002,$88827,-35.6326087,4,3,Medium Income,Pale White
Dodge,Caravan,23,1,29466.21739,-36,$138701,$88399,,5,3,High Income,Pale White
Nissan,Xterra,45,1.022727273,15391.15909,67,$53000,$88332,-44.44598181,3,5,Low Income,Black
Lincoln,Navigator,37,1,19081.2973,-34,$133501,$88251,-42.13087127,5,3,Low Income,Black
Hyundai,Sonata,41,1.108108108,19067.75676,-27,$120001,$88188,-29.45129317,5,4,Low Income,Black
Volkswagen,Jetta,28,1.037037037,22815.03704,100,$44001,$88001,-33.33409089,,,Low Income,Black
Mercedes-B,CL500,29,1,22227.7931,-56,$200202,$87901,-21.23566308,6,3,High Income,Black
Dodge,Caravan,28,1.037037037,23854.03704,-24,$115002,$87826,27.28405797,4,3,Low Income,Black
Honda,CR-V,30,1.034482759,23096.86207,11,$78502,$87366,-31.63849765,3,3,High Income,Pale White
Mercury,Mystique,1,1,29000,,,$87000,0,,,Medium Income,Pale White
Volvo,S70,29,1,23939.96552,-11,$97000,$86782,-37.65750492,4,4,High Income,Black
Mercedes-B,SLK230,7,1,33000.71429,,,$86627,-12.50063129,,,Medium Income,Black
Dodge,Stratus,23,1,30117.73913,-27,$118501,$86589,-49.11856997,3,2,High Income,Red
Mitsubishi,Montero Sport,19,1,34931.68421,-48,$165701,$86570,-37.26811594,2,1,Medium Income,Pale White
Dodge,Ram Pickup,17,1.0625,43187.875,-10,$96001,$86376,-53.31052265,2,2,Low Income,Red
Honda,Civic,2,1,43000,,,$86000,-33.33333333,,,Medium Income,Black
Chevrolet,Metro,22,1,31245.68182,-45,$157003,$85926,38.59032258,4,2,High Income,Black
Acura,TL,27,1,25333.66667,-13,$98002,$85501,-53.78349306,3,3,Low Income,Red
Nissan,Pathfinder,16,1,42661.5,288,$22000,$85323,-79.39057971,1,4,High Income,Black
Chevrolet,Monte Carlo,29,1.035714286,23357.46429,-53,$180004,$85306,-38.18405797,5,2,Low Income,Pale White
Toyota,Sienna,35,1.060606061,19766.93939,-9,$93502,$85084,-45.92863271,1,1,High Income,Black
Lincoln,Town car,25,1,25943,-50,$168902,$84597,131.766253,6,3,High Income,Pale White
Honda,CR-V,20,1,31000.3,-32,$124001,$84546,-69.69677419,4,3,Low Income,Black
Jaguar,S-Type,30,1,19716.9,-2,$86001,$84501,-17.15669454,4,4,Low Income,Black
BMW,328i,18,1.058823529,37823.88235,-20,$105000,$83870,55.30906263,1,1,Medium Income,Black
Cadillac,Escalade,19,1,29421.42105,-60,$210504,$83851,-7.604240127,7,3,Medium Income,Black
Toyota,Camry,17,1.0625,33174.75,-11,$93991,$83810,-10.17341536,2,2,High Income,Red
Volvo,S80,29,1.035714286,22946.64286,-53,$180003,$83805,21.45652174,4,2,Low Income,Pale White
Ford,Crown Victoria,21,1,29237.42857,182,$29700,$83725,-52.29426278,1,3,High Income,Red
Nissan,Quest,30,1,21366.83333,-22,$107001,$83609,24.78768974,3,2,Low Income,Black
BMW,328i,14,1,29786.07143,-1,$84002,$83401,32.37623605,3,3,Low Income,Pale White
Chevrolet,Corvette,22,1.1,33275.2,-12,$94500,$83188,23.24148148,3,3,Medium Income,Pale White
Pontiac,Bonneville,34,1.03030303,18432.21212,-5,$87001,$82945,-64.44020493,4,4,Low Income,Red
Honda,Passport,28,1,23628.78571,-39,$135002,$82701,-23.63711911,5,3,High Income,Pale White
Mercury,Mountaineer,30,1,21100.23333,-2,$84100,$82566,-74.0852338,3,3,High Income,Pale White
Dodge,Ram Van,23,1,28648,65,$50000,$82363,-32.21152263,2,3,Low Income,Red
Cadillac,Eldorado,24,1,26260.58333,216,$26000,$82207,-52.50922872,1,3,High Income,Pale White
Toyota,Tacoma,3,1,82166.66667,,,$82167,,,,Medium Income,Red
BMW,323i,34,1.03030303,19898.66667,125,$36500,$82082,-29.24026517,1,2,High Income,Red
Chrysler,Concorde,43,1,15221.11628,-9,$90001,$81814,-43.18511677,4,4,Low Income,Black
Volkswagen,Golf,17,1,32059.05882,134,$35000,$81751,-22.14190476,,,Low Income,Red
Lexus,ES300,22,1,27022.90909,0,$81001,$81069,0.085185185,3,3,Low Income,Pale White
Toyota,Corolla,22,1,25759.40909,458,$14501,$80958,-64.42235435,1,6,High Income,Red
Dodge,Avenger,21,1,29450.19048,267,$22000,$80668,-48.78222222,1,4,High Income,Red
Cadillac,Escalade,14,1,38091.92857,5,$76001,$79993,-53.42528762,2,2,High Income,Pale White
Toyota,RAV4,8,1,56500.125,,,$79765,-5.045057915,,,Medium Income,Black
Chrysler,LHS,19,1,32137.31579,15,$69002,$79645,-49.04448411,2,2,Medium Income,Black
Oldsmobile,Silhouette,11,1,53091.27273,-56,$180000,$79637,-55.75795959,2,1,Medium Income,Black
Hyundai,Sonata,35,1,18145.97143,-2,$81001,$79389,-47.44295049,3,3,High Income,Black
Ford,Explorer,24,1.043478261,22978.3913,-28,$110001,$79275,17.44444444,4,3,Low Income,Black
Dodge,Caravan,19,1,30579.21053,-55,$176001,$79228,-38.58294574,4,2,Low Income,Pale White
Infiniti,I30,29,1,21734.58621,-47,$149801,$78788,-15.28172043,5,3,Low Income,Red
Chrysler,Sebring Coupe,17,1.0625,35843.9375,-65,$226501,$78205,-43.32971014,4,1,Medium Income,Pale White
Lexus,ES300,23,1,27185.08696,-52,$163600,$78157,-51.95571593,4,2,High Income,Pale White
Cadillac,DeVille,4,1,45500.5,,,$78001,18.17796161,,,Medium Income,Pale White
Volvo,S70,24,1.043478261,27087.21739,88,$41500,$77876,-23.04819122,2,4,High Income,Pale White
Jeep,Cherokee,19,1.055555556,33166.94444,113,$36500,$77870,,1,2,Low Income,Pale White
Mercedes-B,C-Class,43,1,14471.16279,34,$58201,$77783,4.195523168,2,3,High Income,Pale White
Mitsubishi,Diamante,34,1.0625,19387.75,-51,$157002,$77551,-36.33079645,6,3,Low Income,Red
Dodge,Ram Pickup,30,1.034482759,20379.44828,-20,$96102,$77087,-32.90948651,5,4,High Income,Black
Lincoln,Navigator,32,1,19223.75,0,$77002,$76895,-11.4653495,3,3,High Income,Black
Mitsubishi,3000GT,16,1,35187.5625,-20,$96500,$76773,-55.1821366,,,High Income,Black
Oldsmobile,Cutlass,5,1,30600,,,$76500,-54.46428571,,,Medium Income,Red
Honda,Passport,24,1,23375.04167,59,$48000,$76500,-22.72727273,2,3,Low Income,Black
Saab,Aero,7,1,69000.28571,-45,$138000,$76263,,2,1,Medium Income,Red
Mercedes-B,SLK230,19,1.117647059,32606.29412,440,$14000,$75587,76.8034244,1,5,High Income,Pale White
Plymouth,Neon,30,1,19199.5,12,$67101,$75128,,2,2,High Income,Black
Acura,TL,24,1,23975.29167,-37,$118752,$75053,-65.54087868,3,2,High Income,Red
Nissan,Sentra,1,1,25000,,,$75000,,,,High Income,Pale White
Nissan,Sentra,1,1,25000,,,$75000,,,,Low Income,Pale White
Jeep,Grand Cherokee,30,1,18280.3,22,$61101,$74783,-33.35026693,2,2,High Income,Pale White
Chevrolet,Monte Carlo,13,1,44038.76923,-15,$88000,$74674,-62.28623953,2,2,High Income,Black
Ford,Crown Victoria,26,1,22950.38462,-56,$168701,$74589,-46.57024971,4,2,High Income,Pale White
Subaru,Forester,24,1,22781.54167,-18,$90901,$74558,-6.042619687,3,2,High Income,Red
Porsche,Carrera Coupe,23,1,23661.08696,-8,$81000,$74210,-57.01783346,2,2,High Income,Pale White
Audi,A4,20,1.052631579,28587.10526,37,$54000,$74067,-40.18509695,1,1,High Income,Black
Volkswagen,Jetta,13,1,32230.76923,,,$73941,-63.07565543,,,Medium Income,Red
Acura,TL,16,1,26062.75,-12,$84001,$73589,-12.39717629,,,Medium Income,Black
Ford,Focus,29,1,19431.2069,116,$34000,$73501,18.07010217,2,4,Low Income,Red
Toyota,Corolla,22,1,25472.95455,16,$63000,$73096,74.02566483,1,1,High Income,Pale White
Lexus,GS300,10,1,51050.4,43,$51001,$72929,,1,1,Low Income,Black
BMW,528i,15,1,37233.46667,160,$28000,$72848,-68.04912281,1,3,Medium Income,Pale White
Volkswagen,Cabrio,36,1,16162.72222,-50,$145252,$72732,51.525,6,3,High Income,Black
Volvo,S40,16,1,34819.0625,102,$36001,$72666,-21.99033816,1,2,Medium Income,Black
Nissan,Quest,27,1,20615.14815,282,$19000,$72601,97.54299086,1,4,High Income,Black
Dodge,Ram Van,14,1,27643.28571,282,$19000,$72564,-21.97671043,1,4,High Income,Red
Toyota,Corolla,20,1,28875.35,416,$14000,$72188,71.86391448,1,5,Low Income,Red
Volkswagen,GTI,22,1,25097.09091,-28,$100501,$72018,-4.08087158,3,2,High Income,Black
Volkswagen,Passat,22,1,22909.40909,-57,$169003,$72001,-22.57956989,4,2,Medium Income,Pale White
Jeep,Wrangler,4,1,60000.5,,,$72001,-60.00011111,,,Low Income,Black
Pontiac,Bonneville,16,1,32875.375,-50,$144001,$71728,117.3575758,3,1,Low Income,Black
Volkswagen,Cabrio,34,1.0625,17000.25,-26,$96001,$70958,-40.86981159,6,4,Low Income,Black
Nissan,Altima,28,1.037037037,21005.81481,-56,$161951,$70895,-12.5853863,5,2,High Income,Pale White
Volvo,S80,24,1,21625.20833,-24,$93100,$70773,-15.94755407,2,2,High Income,Pale White
Lexus,GS300,6,1,51000,,,$70615,-30.76960784,,,Medium Income,Black
Lincoln,Navigator,17,1,33159.05882,114,$33000,$70463,-52.5508074,1,2,High Income,Pale White
Saturn,LW,10,1,49190.6,42,$49500,$70272,-52.43954437,1,1,High Income,Red
Pontiac,Bonneville,13,1,36015.69231,-35,$108000,$70231,,1,1,High Income,Black
Buick,Park Avenue,18,1,28608.55556,-39,$114200,$70221,-32.73850575,1,1,High Income,Red
Buick,Regal,28,1,19198.46429,-8,$76601,$70116,-27.34168558,2,2,High Income,Black
Ford,F-Series,14,1,30000.21429,84,$38000,$70001,-61.11055556,1,2,Low Income,Black
Mercury,Cougar,17,1,26000.35294,-45,$128002,$69790,-52.03436426,2,1,High Income,Pale White
Chevrolet,Corvette,13,1,42830.92308,-23,$90500,$69600,-71.0003625,2,2,High Income,Red
Dodge,Dakota,24,1.043478261,21130.69565,-53,$147002,$69429,10.19951431,4,2,Low Income,Pale White
Jaguar,S-Type,14,1,29686,,,$69267,-47.28659163,,,High Income,Red
Pontiac,Bonneville,31,1.033333333,16846.96667,1,$68500,$68919,-17.26609205,3,3,High Income,Red
Pontiac,Bonneville,30,1,18278.53333,-2,$69951,$68545,-21.55078684,2,2,High Income,Pale White
Chevrolet,Monte Carlo,26,1,19307.88462,80,$38001,$68455,14.09166667,2,4,Low Income,Red
Subaru,Outback,18,1,30416.88889,-58,$163502,$68438,20.0603477,3,1,Medium Income,Pale White
Plymouth,Breeze,7,1,39100.42857,,,$68426,-80.60520513,,,High Income,Red
Mercedes-B,CL500,18,1,29000.05556,-41,$116000,$68087,-60.87021488,4,2,Low Income,Red
Subaru,Forester,23,1,22652.34783,-38,$109501,$67957,-18.12606925,3,2,Low Income,Pale White
Plymouth,Voyager,28,1,18571.64286,-6,$72000,$67827,-43.4775,4,4,Low Income,Red
Dodge,Viper,14,1,33893.14286,-35,$105001,$67786,-37.23634748,1,1,Medium Income,Red
Volkswagen,Cabrio,29,1,18672.72414,-20,$85003,$67689,-46.59729235,3,2,Low Income,Pale White
Mitsubishi,Diamante,30,1,18040.23333,464,$12000,$67651,-64.1492936,1,6,High Income,Red
Saturn,SW,15,1,36000.33333,-62,$180002,$67501,-37.50023148,4,2,Low Income,Black
Toyota,Land Cruiser,13,1,24200.23077,,,$67415,48.16157887,,,High Income,Pale White
Plymouth,Voyager,26,1,18884.80769,65,$40500,$66955,-44.20416667,1,2,High Income,Red
Volvo,S40,17,1,28764.82353,-12,$76000,$66682,30.74901961,2,2,Medium Income,Pale White
Mercury,Villager,22,1,24227.59091,-34,$100501,$66626,-49.52690469,4,3,Low Income,Black
Pontiac,Sunfire,12,1.090909091,40136.72727,-23,$86000,$66226,-48.6620155,2,2,Medium Income,Pale White
Chevrolet,Lumina,13,1,32230.84615,56,$42500,$66158,-28.86236559,1,2,Medium Income,Black
Ford,Expedition,1,1,22001,,,$66003,0,,,Medium Income,Pale White
Porsche,Carrera Cabrio,1,1,22000,,,$66000,,,,Medium Income,Black
Ford,Taurus,1,1,22000,,,$66000,0,,,Medium Income,Pale White
Pontiac,Grand Prix,10,1,35150.2,247,$19001,$65907,-28.55609756,1,3,Medium Income,Pale White
Chevrolet,Monte Carlo,24,1,19921.16667,-19,$80800,$65197,,3,2,High Income,Red
Dodge,Viper,19,1,26079.21053,-38,$104501,$64631,23.10432182,2,1,High Income,Black
Saab,SportCombi,16,1,28115.8125,130,$28000,$64265,-67.29549826,,,High Income,Pale White
Dodge,Dakota,24,1,19612.79167,-39,$106002,$64187,18.86261366,5,3,High Income,Pale White
Audi,A8,10,1,44160.1,-28,$88100,$63086,-52.47830541,1,1,High Income,Black
Hyundai,Sonata,22,1,21022.90909,-50,$126501,$63069,-33.26031746,4,2,Low Income,Red
Ford,Focus,6,1,49000.5,,,$63001,-57.14217687,,,Medium Income,Black
Jeep,Grand Cherokee,1,1,21000,,,$63000,,,,Medium Income,Red
Infiniti,I30,11,1,36273,-10,$70002,$63000,,2,2,Medium Income,Black
Volvo,S70,1,1,21000,,,$63000,,,,Medium Income,Red
Saturn,SW,20,1,25190.2,26,$50000,$62976,-44.6121372,2,3,High Income,Red
Lexus,LX470,19,1,22026.57895,-29,$88000,$62776,-4.886289602,4,3,Low Income,Black
Toyota,4Runner,19,1,25263.47368,-38,$101001,$62609,-45.79401222,2,1,Low Income,Black
Nissan,Quest,13,1,32019.30769,-3,$64250,$62438,-56.64027778,2,2,Low Income,Pale White
Ford,Windstar,12,1,31204.41667,,,$62409,-55.31105892,,,High Income,Red
Honda,Accord,24,1,19021.04167,-51,$127001,$62251,-3.486821705,7,3,Medium Income,Pale White
Volkswagen,Golf,13,1,33507.84615,76,$35400,$62229,-52.16906735,1,2,High Income,Red
Mitsubishi,Montero Sport,9,1,43722.55556,-52,$129501,$62132,-28.58472891,1,0,Medium Income,Black
Volkswagen,Beetle,8,1,36125.25,-6,$66000,$61929,-68.72320116,,,High Income,Pale White
Oldsmobile,Bravada,15,1.071428571,20500.28571,310,$15001,$61501,-37.24451791,,,Low Income,Pale White
Volvo,C70,5,1,82000.4,-25,$82000,$61500,-75.00030487,1,1,Low Income,Red
Dodge,Stratus,15,1,31406.93333,-10,$68000,$61448,-77.97610087,1,1,Low Income,Pale White
Volvo,V70,12,1.090909091,42691.18182,-48,$117801,$61253,,2,1,High Income,Black
Saturn,SC,6,1,61216.83333,-67,$183700,$61217,,3,1,High Income,Pale White
Volkswagen,Beetle,13,1,37615.69231,-7,$66001,$61126,,2,2,Medium Income,Red
